Altium Designer Pick and Place Locations
C:\Users\TOM\Desktop\QbotÃÔÄãÑ²Ïß»úÆ÷ÈË\µçÂ·Í¼\Project Outputs for Qbot\Pick Place for Qbot.txt

========================================================================================================================
File Design Information:

Date:       30/01/22
Time:       19:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator  Comment                 Layer       Footprint                         Center-X(mm) Center-Y(mm) Rotation Description              
R45         "10K¦¸ (103) ¡À1%"        BottomLayer LC-0805_R                         55.1000      48.4500      360      ÌùÆ¬µç×è                     
Designator7 Comment                 BottomLayer MOTOR_SET_-_DUPLICATE1            14.7500      35.0999      0        ""                       
S2          SW_2                    TopLayer    TSW_SMD-3*6*2.5                   0.6706       31.3400      360      ""                       
S3          SW_2                    TopLayer    TSW_SMD-3*6*2.5                   0.7164       39.3099      360      ""                       
S1          SW_2                    TopLayer    TSW_SMD-3*6*2.5                   0.6706       43.5900      360      ""                       
R28         "10K¦¸ (103) ¡À1%"        TopLayer    LC-0805_R                         3.6600       27.8000      360      ÌùÆ¬µç×è                     
C26         "100nF(104) 10% 50V"    TopLayer    LC-0805_C                         -0.3665      27.8000      180      ÌùÆ¬µçÈÝ                     
Designator6 Comment                 BottomLayer MOTOR_SET_-_DUPLICATE1            42.3700      35.1000      180      ""                       
R41         "10K¦¸ (103) ¡À1%"        TopLayer    LC-0805_R                         43.9500      19.3500      360      ÌùÆ¬µç×è                     
J2          SIP3                    BottomLayer HDR2.54-WI-3P                     3.5200       48.7400      0        jointbar                 
Y2          8MHz                    BottomLayer OSC_HC-49S                        28.1195      22.5932      360      Crystal                  
Y1          32.768K                 BottomLayer OSC-3x10-WI-A                     37.2700      18.1230      270      ¾§Õñ                       
USB         "TYPE-C 16PIN 2MD(073)" TopLayer    USB-C-SMD_TYPE-C-6PIN-2MD-073     15.4750      4.2249       0        ""                       
U10         TB6612FNG,C,8,EL        TopLayer    SSOP24                            11.0864      34.0999      0        ""                       
U9          WS2812B-B               TopLayer    LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B 6.2983       2.9256       0        ""                       
U8          STM32F103C8T6           TopLayer    STM32F103C8T6_LQFP48              28.6000      32.4000      360      ""                       
U7          WS2812B-B               TopLayer    LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B 53.3200      2.9399       0        ""                       
U6          XC6206                  TopLayer    SOT-23_TL431                      49.2360      12.6471      90       ""                       
U5          XC6206                  TopLayer    SOT-23_TL431                      49.2360      8.7373       90       ""                       
U4          MPU-6050_C24112         BottomLayer QFN24                             53.3700      9.0500       180      ""                       
U3          PW5300                  TopLayer    SOT23-6L                          2.9500       21.3999      90       ""                       
U2          JDY-23A                 TopLayer    JDY-23A                           53.3551      37.0100      180      ""                       
U1          CH340N                  TopLayer    SOP8                              16.7599      12.4189      90       ""                       
SW1         SK12D07VG3              BottomLayer SW-TH_SK-12D07-VG3                -2.8000      9.3499       90       ""                       
R17         100R                    BottomLayer LC-0805_R                         47.7800      5.7000       360      ÌùÆ¬µç×è                     
R13         100R                    BottomLayer LC-0805_R                         59.0100      7.5500       360      ÌùÆ¬µç×è                     
